depth,curve,curveName,UWI
460.750,56.729,GR,00/01-01-073-05W5/0
461.000,54.343,GR,00/01-01-073-05W5/0
461.250,54.808,GR,00/01-01-073-05W5/0
461.500,56.143,GR,00/01-01-073-05W5/0
461.750,55.987,GR,00/01-01-073-05W5/0
462.000,55.715,GR,00/01-01-073-05W5/0
462.250,56.489,GR,00/01-01-073-05W5/0
462.500,57.514,GR,00/01-01-073-05W5/0
462.750,58.905,GR,00/01-01-073-05W5/0
463.000,63.711,GR,00/01-01-073-05W5/0
463.250,65.605,GR,00/01-01-073-05W5/0
463.500,64.147,GR,00/01-01-073-05W5/0
463.750,61.759,GR,00/01-01-073-05W5/0
464.000,58.195,GR,00/01-01-073-05W5/0
464.250,55.498,GR,00/01-01-073-05W5/0
464.500,57.262,GR,00/01-01-073-05W5/0
464.750,59.526,GR,00/01-01-073-05W5/0
465.000,59.742,GR,00/01-01-073-05W5/0
465.250,57.294,GR,00/01-01-073-05W5/0
465.500,56.457,GR,00/01-01-073-05W5/0
465.750,55.933,GR,00/01-01-073-05W5/0
466.000,52.736,GR,00/01-01-073-05W5/0
466.250,46.752,GR,00/01-01-073-05W5/0
466.500,41.762,GR,00/01-01-073-05W5/0
466.750,38.693,GR,00/01-01-073-05W5/0
467.000,43.807,GR,00/01-01-073-05W5/0
467.250,50.477,GR,00/01-01-073-05W5/0
467.500,54.910,GR,00/01-01-073-05W5/0
467.750,54.011,GR,00/01-01-073-05W5/0
468.000,53.736,GR,00/01-01-073-05W5/0
468.250,54.444,GR,00/01-01-073-05W5/0
468.500,55.289,GR,00/01-01-073-05W5/0
468.750,55.441,GR,00/01-01-073-05W5/0
469.000,55.779,GR,00/01-01-073-05W5/0
469.250,56.368,GR,00/01-01-073-05W5/0
469.500,56.956,GR,00/01-01-073-05W5/0
469.750,56.496,GR,00/01-01-073-05W5/0
470.000,54.358,GR,00/01-01-073-05W5/0
470.250,47.563,GR,00/01-01-073-05W5/0
470.500,45.054,GR,00/01-01-073-05W5/0
470.750,46.261,GR,00/01-01-073-05W5/0
471.000,47.285,GR,00/01-01-073-05W5/0
471.250,47.565,GR,00/01-01-073-05W5/0
471.500,50.079,GR,00/01-01-073-05W5/0
471.750,52.775,GR,00/01-01-073-05W5/0
472.000,56.156,GR,00/01-01-073-05W5/0
472.250,49.118,GR,00/01-01-073-05W5/0
472.500,44.934,GR,00/01-01-073-05W5/0
472.750,46.513,GR,00/01-01-073-05W5/0
473.000,57.333,GR,00/01-01-073-05W5/0
473.250,63.442,GR,00/01-01-073-05W5/0
473.500,62.358,GR,00/01-01-073-05W5/0
473.750,62.201,GR,00/01-01-073-05W5/0
474.000,63.412,GR,00/01-01-073-05W5/0
474.250,63.940,GR,00/01-01-073-05W5/0
474.500,65.148,GR,00/01-01-073-05W5/0
474.750,67.536,GR,00/01-01-073-05W5/0
475.000,69.430,GR,00/01-01-073-05W5/0
475.250,65.180,GR,00/01-01-073-05W5/0
475.500,62.734,GR,00/01-01-073-05W5/0
475.750,66.425,GR,00/01-01-073-05W5/0
476.000,70.794,GR,00/01-01-073-05W5/0
476.250,72.066,GR,00/01-01-073-05W5/0
476.500,74.141,GR,00/01-01-073-05W5/0
476.750,74.111,GR,00/01-01-073-05W5/0
477.000,68.003,GR,00/01-01-073-05W5/0
477.250,65.058,GR,00/01-01-073-05W5/0
477.500,68.997,GR,00/01-01-073-05W5/0
477.750,65.742,GR,00/01-01-073-05W5/0
478.000,62.423,GR,00/01-01-073-05W5/0
478.250,63.513,GR,00/01-01-073-05W5/0
478.500,66.269,GR,00/01-01-073-05W5/0
478.750,73.557,GR,00/01-01-073-05W5/0
479.000,73.959,GR,00/01-01-073-05W5/0
479.250,69.220,GR,00/01-01-073-05W5/0
479.500,65.962,GR,00/01-01-073-05W5/0
479.750,66.612,GR,00/01-01-073-05W5/0
480.000,70.178,GR,00/01-01-073-05W5/0
480.250,72.691,GR,00/01-01-073-05W5/0
480.500,72.288,GR,00/01-01-073-05W5/0
480.750,68.535,GR,00/01-01-073-05W5/0
481.000,63.669,GR,00/01-01-073-05W5/0
481.250,59.110,GR,00/01-01-073-05W5/0
481.500,57.840,GR,00/01-01-073-05W5/0
481.750,56.506,GR,00/01-01-073-05W5/0
482.000,54.925,GR,00/01-01-073-05W5/0
482.250,55.266,GR,00/01-01-073-05W5/0
482.500,56.788,GR,00/01-01-073-05W5/0
482.750,63.018,GR,00/01-01-073-05W5/0
483.000,61.314,GR,00/01-01-073-05W5/0
483.250,56.445,GR,00/01-01-073-05W5/0
483.500,56.913,GR,00/01-01-073-05W5/0
483.750,58.494,GR,00/01-01-073-05W5/0
484.000,57.594,GR,00/01-01-073-05W5/0
484.250,56.758,GR,00/01-01-073-05W5/0
484.500,57.721,GR,00/01-01-073-05W5/0
484.750,60.107,GR,00/01-01-073-05W5/0
485.000,63.610,GR,00/01-01-073-05W5/0
485.250,69.968,GR,00/01-01-073-05W5/0
485.500,64.231,GR,00/01-01-073-05W5/0
485.750,57.812,GR,00/01-01-073-05W5/0
486.000,53.319,GR,00/01-01-073-05W5/0
486.250,53.288,GR,00/01-01-073-05W5/0
486.500,56.853,GR,00/01-01-073-05W5/0
486.750,60.361,GR,00/01-01-073-05W5/0
487.000,60.015,GR,00/01-01-073-05W5/0
487.250,58.437,GR,00/01-01-073-05W5/0
487.500,59.335,GR,00/01-01-073-05W5/0
487.750,61.227,GR,00/01-01-073-05W5/0
488.000,57.662,GR,00/01-01-073-05W5/0
488.250,58.687,GR,00/01-01-073-05W5/0
488.500,63.058,GR,00/01-01-073-05W5/0
488.750,68.172,GR,00/01-01-073-05W5/0
489.000,65.601,GR,00/01-01-073-05W5/0
489.250,59.182,GR,00/01-01-073-05W5/0
489.500,56.982,GR,00/01-01-073-05W5/0
489.750,56.334,GR,00/01-01-073-05W5/0
490.000,55.932,GR,00/01-01-073-05W5/0
490.250,56.579,GR,00/01-01-073-05W5/0
490.500,61.077,GR,00/01-01-073-05W5/0
490.750,71.523,GR,00/01-01-073-05W5/0
491.000,64.114,GR,00/01-01-073-05W5/0
491.250,61.788,GR,00/01-01-073-05W5/0
491.500,64.237,GR,00/01-01-073-05W5/0
491.750,67.249,GR,00/01-01-073-05W5/0
492.000,65.788,GR,00/01-01-073-05W5/0
492.250,58.752,GR,00/01-01-073-05W5/0
492.500,60.085,GR,00/01-01-073-05W5/0
492.750,69.745,GR,00/01-01-073-05W5/0
493.000,65.854,GR,00/01-01-073-05W5/0
493.250,65.086,GR,00/01-01-073-05W5/0
493.500,65.793,GR,00/01-01-073-05W5/0
493.750,67.747,GR,00/01-01-073-05W5/0
494.000,69.698,GR,00/01-01-073-05W5/0
494.250,70.417,GR,00/01-01-073-05W5/0
494.500,70.442,GR,00/01-01-073-05W5/0
494.750,69.797,GR,00/01-01-073-05W5/0
495.000,68.335,GR,00/01-01-073-05W5/0
495.250,65.514,GR,00/01-01-073-05W5/0
495.500,64.614,GR,00/01-01-073-05W5/0
495.750,68.245,GR,00/01-01-073-05W5/0
496.000,70.444,GR,00/01-01-073-05W5/0
496.250,70.165,GR,00/01-01-073-05W5/0
496.500,68.524,GR,00/01-01-073-05W5/0
496.750,66.325,GR,00/01-01-073-05W5/0
497.000,64.494,GR,00/01-01-073-05W5/0
497.250,63.035,GR,00/01-01-073-05W5/0
497.500,64.494,GR,00/01-01-073-05W5/0
497.750,67.134,GR,00/01-01-073-05W5/0
498.000,70.697,GR,00/01-01-073-05W5/0
498.250,71.966,GR,00/01-01-073-05W5/0
498.500,70.698,GR,00/01-01-073-05W5/0
498.750,65.951,GR,00/01-01-073-05W5/0
499.000,68.217,GR,00/01-01-073-05W5/0
499.250,68.746,GR,00/01-01-073-05W5/0
499.500,69.150,GR,00/01-01-073-05W5/0
499.750,70.918,GR,00/01-01-073-05W5/0
500.000,72.186,GR,00/01-01-073-05W5/0
500.250,72.157,GR,00/01-01-073-05W5/0
500.500,72.186,GR,00/01-01-073-05W5/0
500.750,72.589,GR,00/01-01-073-05W5/0
501.000,72.558,GR,00/01-01-073-05W5/0
501.250,71.785,GR,00/01-01-073-05W5/0
501.500,71.013,GR,00/01-01-073-05W5/0
501.750,70.234,GR,00/01-01-073-05W5/0
502.000,69.091,GR,00/01-01-073-05W5/0
502.250,67.077,GR,00/01-01-073-05W5/0
502.500,64.815,GR,00/01-01-073-05W5/0
502.750,63.041,GR,00/01-01-073-05W5/0
503.000,60.597,GR,00/01-01-073-05W5/0
503.250,59.390,GR,00/01-01-073-05W5/0
503.500,58.861,GR,00/01-01-073-05W5/0
503.750,58.395,GR,00/01-01-073-05W5/0
504.000,58.487,GR,00/01-01-073-05W5/0
504.250,59.208,GR,00/01-01-073-05W5/0
504.500,60.593,GR,00/01-01-073-05W5/0
504.750,63.540,GR,00/01-01-073-05W5/0
