name,tournaments,played,won,wonLostPct
Noah Lünell,1,2,0,0
Alexander Lorentz Lynghaug,2,4,0,0
André Løkken,1,2,0,0
Heine Madland,1,2,1,50
Kristoffer Hundsnes Madland,4,8,1,13
Magnus Gjertsen Mannes,1,4,3,75
Mickaël Mantz,5,17,14,82
Caritha Marianayagam,1,2,1,50
Cyril Marianayagam,1,4,3,75
Hilde Marianayagam,1,3,2,67
Vidar Marsh,3,8,4,50
Jan Gil Martens,2,4,0,0
Gabriel Martin,9,25,14,56
Ida Martin,4,8,0,0
Laurence Martin,2,7,5,71
Pedro Tiago Martins,2,6,6,100
Ole Martinsen,1,3,1,33
Rune Martinsen,3,3,0,0
Anna Sophie Mayer,3,6,2,33
Alastair James McClurg,1,2,0,0
Robin McClusky,17,41,30,73
Pål Arne Mediå,1,3,2,67
Thomas Bjørnstad Meling,1,2,1,50
Nicolai Mellbye,6,9,4,44
David Forbech Mellemstrand,1,2,1,50
Thomas Mellemstrand,1,1,0,0
Sebastian Samuel Meyer,1,2,1,50
Syver-August Meyer,1,2,1,50
Dusan Miklas,2,7,6,86
Benjamin Vaag Miller,1,5,2,40
Sasa Mimic,1,2,1,50
Lars Peder Minsaas,8,20,12,60
Diego Miranda,1,2,0,0
Mathias Mjåland,1,3,2,67
Ulrik Nygård Mjåland,1,4,3,75
Alexander Mohn,1,2,1,50
Frida Sandberg Molden,5,18,12,67
Øyvind Moldrheim,2,8,6,75
Kevin Molstad,1,2,0,0
Rachel Montagu,1,2,0,0
Francesco Montemesola,1,5,3,60
Marco Montemesola,1,2,1,50
Steffen Morsund,1,2,0,0
Sebastian Mortensen,1,2,1,50
Bjørn-Magnus Moslått,1,5,4,80
Luca Mugnaini,1,2,1,50
Thomas Muravez,1,2,1,50
Kristoffer Muri,1,4,3,75
Anne Myhre,8,22,16,73
Ida Myhre,9,23,11,48
Ole Petter Myhre,11,26,12,46
Pia Charlotte Mæhle,3,6,0,0
Cecilie Johannessen Mæland,6,20,14,70
Henrik Aleksander Mæland,5,14,6,43
Tormod Mæland,1,5,5,100
Nina Møller,1,2,0,0
Vemund Møller,3,6,1,17
Helle Møller-Sivertsen,2,5,3,60
Birk Narvestad,2,10,8,80
Rashid Nasir,1,4,3,75
Magda Nasuta,3,6,2,33
Paulina Nasuta,4,9,3,33
Kate Natvig,1,1,0,0
Kristin Natvig,3,7,3,43
Rikki Natvig,3,6,4,67
Sanda-Oana Neagu,3,11,5,45
Gabriel Nedrebø,3,8,5,63
Leah Nese,1,3,2,67
Odd Ivar Nese,2,7,6,86
Rolf Manuel Nese,1,4,3,75
Samuel Nese,2,7,5,71
Stinius Nese,1,4,4,100
Kyrre Nesse,2,4,1,25
Anh Tho Ngo,10,28,13,46
Christopher Ngo,1,2,1,50
Chau N.T. Nguyen,1,2,0,0
Julian Nguyen,1,4,0,0
Khanh Duc Nguyen,19,47,26,55
Kristian Bugge Nicolaisen,1,2,1,50
Pål Vatsvåg Nielsen,1,5,5,100
Håkon Cemanes Nilsen,2,5,3,60
Håkon Nilsen,1,3,2,67
Line Hoff Nilsen,2,6,3,50
Ove Mangor Nilsen,5,10,3,30
John-Sigvard Gamlem Njau,6,16,11,69
Casper Nodeland,1,2,0,0
Bernardo Fonseca Nordang,3,6,1,17
Felix Nordby,1,4,4,100
Peder Nordbø,2,9,7,78
Edit Anita Nordgaard,1,2,1,50
Casper Nordland,3,13,10,77
Fredrik Nordland,1,2,0,0
Rikke Nordvik,7,20,10,50
Christian Noraas,1,3,0,0
Jonas Nyberg,1,4,3,75
Felix Alexander Pihl Nyborg,2,4,2,50
Kristian Nybråten,1,3,0,0
Michelle Nygaard,1,1,0,0
Håvard Næss,9,16,2,13
Jacob Næss,1,1,0,0
Ola Smedberg Næss,2,4,1,25
Torbjørn Næss,1,2,0,0
Tormod Næss,1,2,1,50
Edvard Faa Nårstad,10,34,23,68
Frederik Faa Nårstad,6,26,21,81
Lars Tore Obrestad,3,8,4,50
Benedicte Ognedal,2,4,1,25
Andreas Olaussen,2,6,4,67
Petter Olaussen,2,4,2,50
Daniel Olsen,12,29,19,66
Espen Olsen,11,35,22,63
Eugen Olsen,1,2,0,0
Joshua Asher Olsen,1,2,1,50
Mikal Olsen,8,19,13,68
Rachel Asher Olsen,1,4,3,75
Rebecca Asher Olsen,2,5,3,60
Wenche Olsen,2,4,2,50
Henrik Brandser Olsson,1,3,0,0
Aleksander Omtvedt,1,5,5,100
Lars Opstad,1,2,1,50
Filip Orre,1,3,3,100
Jørgen Orstad,1,4,3,75
Ihor Oryshchenko,1,1,0,0
Yaroslav Oryshchenko,1,4,4,100
Christer Ottesen,1,3,1,33
Per Gunnar Ottosen,4,7,3,43
Anders Owren,1,2,0,0
Magdalena Pachner,1,1,0,0
Gianni Parisi,1,2,1,50
Anders Parr,1,2,1,50
Christian Parr,1,2,1,50
Meda Paulaviciute,1,3,1,33
Benjamin Pedersen,1,2,1,50
Linda Aske Pedersen,1,2,0,0
Vegard Loug Pedersen,2,5,1,20
Nataliia Peresunko,1,2,0,0
Per Inge Persson,4,10,6,60
Emil Pettersen,1,1,0,0
Jarle Pettersen,6,14,8,57
Sebastian Pettersen,1,3,1,33
Heine Pham,1,2,1,50
Rishi Phatak,1,3,2,67
Modestas Plauska,3,12,9,75
Philip Pollestad,2,4,0,0
Jovan Popov,1,2,0,0
Nikolai Bugge Norman Pran,1,3,2,67
Susanna Prokes,1,2,1,50
Matthieu Protat,7,9,2,22
Kestutis Pulokas,1,2,1,50
Nina Pungar,1,2,1,50
Alice Pussac,1,4,1,25
Sergey Pyzh,3,6,2,33
Siarhei Pyzh,1,2,1,50
Audun Paasche,1,2,1,50
Stephanie Marie Quevedo,1,4,2,50
Viktoria Maria Radler,1,2,1,50
Tracey Dawn Raen,1,4,3,75
Thomas Leirda Rage,1,2,1,50
Ole Helliesen Ramsland,5,13,8,62
Per Kristian Ramsland,3,5,0,0
